id,date,province,cumulative_recovered
451,2020-05-04,Quebec,464
455,2020-01-04,Quebec,155
459,2020-03-28,Quebec,29
463,2020-03-24,Quebec,1
467,2020-03-20,Quebec,1
471,2020-03-16,Quebec,0
475,2020-12-03,Quebec,0
479,2020-08-03,Quebec,0
483,2020-04-03,Quebec,0
487,2020-02-29,Quebec,0
491,2020-02-25,Quebec,-1
495,2020-02-21,Quebec,-1
499,2020-02-17,Quebec,-1
503,2020-02-13,Quebec,-1
507,2020-05-04,Saskatchewan,67
511,2020-01-04,Saskatchewan,30
515,2020-03-28,Saskatchewan,4
519,2020-03-24,Saskatchewan,0
523,2020-03-20,Saskatchewan,0
527,2020-03-16,Saskatchewan,0
531,2020-12-03,Saskatchewan,0
535,2020-08-03,Saskatchewan,-1
539,2020-04-03,Saskatchewan,-1
543,2020-02-29,Saskatchewan,-1
547,2020-02-25,Saskatchewan,-1
551,2020-02-21,Saskatchewan,-1
555,2020-02-17,Saskatchewan,-1
559,2020-02-13,Saskatchewan,-1
563,2020-05-04,NWT,1
567,2020-01-04,NWT,0
571,2020-03-28,NWT,0
575,2020-03-24,NWT,0
579,2020-03-20,NWT,-1
583,2020-03-16,NWT,-1
587,2020-12-03,NWT,-1
591,2020-08-03,NWT,-1
595,2020-04-03,NWT,-1
599,2020-02-29,NWT,-1
603,2020-02-25,NWT,-1
607,2020-02-21,NWT,-1
611,2020-02-17,NWT,-1
615,2020-02-13,NWT,-1
619,2020-05-04,Nunavut,-1
623,2020-01-04,Nunavut,-1
627,2020-03-28,Nunavut,-1
631,2020-03-24,Nunavut,-1
635,2020-03-20,Nunavut,-1
639,2020-03-16,Nunavut,-1
643,2020-12-03,Nunavut,-1
647,2020-08-03,Nunavut,-1
651,2020-04-03,Nunavut,-1
655,2020-02-29,Nunavut,-1
659,2020-02-25,Nunavut,-1
663,2020-02-21,Nunavut,-1
667,2020-02-17,Nunavut,-1
671,2020-02-13,Nunavut,-1
675,2020-05-04,Yukon,4
679,2020-01-04,Yukon,3
683,2020-03-28,Yukon,0
687,2020-03-24,Yukon,0
691,2020-03-20,Yukon,-1
695,2020-03-16,Yukon,-1
696,2020-03-15,Yukon,-1
700,2020-11-03,Yukon,-1
704,2020-07-03,Yukon,-1
708,2020-03-03,Yukon,-1
712,2020-02-28,Yukon,-1
716,2020-02-24,Yukon,-1
720,2020-02-20,Yukon,-1
724,2020-02-16,Yukon,-1
728,2020-12-02,Yukon,-1
697,2020-03-14,Yukon,-1
701,2020-10-03,Yukon,-1
705,2020-06-03,Yukon,-1
709,2020-02-03,Yukon,-1
713,2020-02-27,Yukon,-1
717,2020-02-23,Yukon,-1
721,2020-02-19,Yukon,-1
725,2020-02-15,Yukon,-1
698,2020-03-13,Yukon,-1
702,2020-09-03,Yukon,-1
706,2020-05-03,Yukon,-1
710,2020-01-03,Yukon,-1
714,2020-02-26,Yukon,-1
718,2020-02-22,Yukon,-1
722,2020-02-18,Yukon,-1
726,2020-02-14,Yukon,-1
699,2020-12-03,Yukon,-1
703,2020-08-03,Yukon,-1
707,2020-04-03,Yukon,-1
711,2020-02-29,Yukon,-1
715,2020-02-25,Yukon,-1
719,2020-02-21,Yukon,-1
723,2020-02-17,Yukon,-1
727,2020-02-13,Yukon,-1
729,2020-09-04,Alberta,592
730,2020-09-04,Alberta,592
731,2020-08-04,Alberta,519
732,2020-08-04,Alberta,519
733,2020-09-04,BC,858
734,2020-09-04,BC,858
735,2020-08-04,BC,838
736,2020-08-04,BC,838
737,2020-09-04,Manitoba,76
738,2020-08-04,Manitoba,69
739,2020-08-04,Manitoba,69
740,2020-09-04,New Brunswick,53
741,2020-08-04,New Brunswick,50
742,2020-09-04,NL,96
743,2020-09-04,NL,96
744,2020-08-04,NL,74
745,2020-08-04,NL,74
746,2020-09-04,Nova Scotia,82
747,2020-08-04,Nova Scotia,77
748,2020-09-04,Ontario,2305
749,2020-08-04,Ontario,2074
750,2020-09-04,PEI,17
751,2020-09-04,PEI,17
752,2020-08-04,PEI,17
753,2020-08-04,PEI,17
754,2020-09-04,Quebec,1112
755,2020-09-04,Quebec,1112
756,2020-08-04,Quebec,827
757,2020-08-04,Quebec,827
758,2020-09-04,Saskatchewan,115
759,2020-08-04,Saskatchewan,103
760,2020-09-04,NWT,1
761,2020-08-04,NWT,1
762,2020-08-04,NWT,1
763,2020-09-04,Nunavut,-1
764,2020-08-04,Nunavut,-1
765,2020-08-04,Nunavut,-1
766,2020-09-04,Yukon,4
767,2020-08-04,Yukon,4
768,2020-08-04,Yukon,4
769,2020-04-10,Alberta,713
770,2020-04-10,Alberta,713
771,2020-04-09,Alberta,592
772,2020-04-09,Alberta,592
773,2020-04-08,Alberta,519
774,2020-04-08,Alberta,519
775,2020-04-07,Alberta,447
776,2020-04-07,Alberta,447
777,2020-04-06,Alberta,361
778,2020-04-06,Alberta,361
779,2020-04-05,Alberta,279
780,2020-04-05,Alberta,279
781,2020-04-02,Alberta,174
782,2020-04-02,Alberta,174
783,2020-04-01,Alberta,142
784,2020-04-01,Alberta,142
785,2020-03-12,Alberta,0
786,2020-03-12,Alberta,0
787,2020-03-11,Alberta,0
788,2020-03-11,Alberta,0
789,2020-03-10,Alberta,0
790,2020-03-10,Alberta,0
791,2020-03-09,Alberta,0
792,2020-03-09,Alberta,0
793,2020-03-08,Alberta,0
794,2020-03-07,Alberta,0
795,2020-03-07,Alberta,0
796,2020-03-06,Alberta,0
797,2020-03-06,Alberta,0
798,2020-03-05,Alberta,0
799,2020-03-05,Alberta,0
800,2020-03-02,Alberta,-1
801,2020-03-02,Alberta,-1
802,2020-03-01,Alberta,-1
803,2020-03-01,Alberta,-1
804,2020-02-12,Alberta,-1
805,2020-04-10,BC,879
806,2020-04-10,BC,879
